Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,,,1851553.52,1973077.96,2273021.16,2595306.99,2932545.56,3284626.81,3599341.93,3836533.93,4204346.22,2952160.22,2617743.96
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Andaman & Nicobar Islands,,,20180.7,18757.75,22602.07,24905.51,28254.55,31163.34,32381.88,33474.64,35589.41,38270.21,42735.6
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Arunachal Pradesh,,,39449.45,38175.87,41917.99,45644.38,55636.46,59512.23,65251.19,70376.94,81052.98,86886.28,96045.03
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Assam,,,294094.17,299117.73,323991.8,350013.65,402945.73,455146.68,501215.59,523715.46,578793.75,666757.07,803367.89
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Bihar,,,382537.05,405233.45,472056.96,560311.15,692354.4,822007.72,913831.08,992195.39,1137650.51,1314536.25,1626114.6
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Chandigarh,,,194126.21,198685.93,210950.01,230792.66,257836.53,281240.48,280194.88,265100.63,258945.01,265430.82,304400.72
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Chhattisgarh,,,361184.97,389360.91,459619.92,536844.31,630208.54,714005.21,781426.2,839358.25,943453.54,1086172.82,1267201.63
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Dadra & Nagar Haveli,,,25864.63,30251.39,34229.36,36234.06,36815.82,38018.64,38820.53,38089.4,39496.62,44189.99,51013.85
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Daman & Diu,,,29378.76,31760.82,36815.82,39921.15,41768.62,43734.02,46226.14,48561.03,48930.53,51013.85,56823.56
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Delhi,,,2096953.01,2188312.54,2318516.17,2387014.19,2503279.23,2581494.17,2565338.61,2494890.91,2498381.46,2587115.21,2779802.75
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Goa,,,207545.94,225824.14,245934.08,260965.44,286767.17,307663.28,324117.58,359148.82,392772.84,432914.11,467717.36
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Gujarat,,,1987260.27,1981969.42,2294365.37,2496125.18,2760423.93,3051459.95,3255648.99,3437723.39,3713232.77,4105557.49,4651741.37
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Haryana,,,991755.14,1117855.03,1331965.4,1481995.96,1695815.45,1910947.82,1988958.37,1975515.05,2058895.06,2228791.86,2414954.28
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Himachal Pradesh,,,186932.86,197137.2,218316.32,237742.31,277270.37,318913.21,344015.26,357191.28,382426.98,421561.97,492292.69
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Jammu & Kashmir,,,267136.79,278583.26,307057.93,320556.28,362277.73,388928.52,418951.93,449439.17,485060.03,526380.54,605027.87
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Jharkhand,,,389675.37,400909.58,455783.47,505350.79,576419.55,660239.81,694870.11,728840.03,810915.02,922305.87,1061904.1
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Karnataka,,,1609550.23,1706405.01,1968848.42,2321338.48,2631714.0,2970689.99,3230444.74,3480270.31,3827768.25,4354439.67,5049136.82
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Kerala,,,1395502.76,1477758.56,1665068.77,1863794.01,2112361.73,2301102.75,2443609.77,2585511.45,2788592.01,3091766.32,3458077.04
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Lakshadweep,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Madhya Pradesh,,,1000080.57,1046487.52,1258121.49,1439912.87,1659471.32,1891152.34,2025153.12,2171221.44,2400449.65,2732979.13,3153165.32
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Maharashtra,,,3626826.05,3873420.5,4465170.15,4899656.57,5429708.47,6032165.6,6469081.26,6739755.76,7057230.3,7642407.66,8642110.87
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Manipur,,,46548.47,54103.45,60620.71,66170.99,73207.11,66226.02,81666.18,100534.0,112326.38,126304.28,135148.57
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Meghalaya,,,85125.28,89685.0,99850.04,109299.67,126870.32,146516.43,161492.76,174118.47,183355.83,185855.82,200486.24
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Mizoram,,,31980.94,32562.7,35809.54,39355.11,43018.61,49528.01,56123.88,58906.88,65534.2,70203.99,73545.16
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Nagaland,,,45683.69,44952.56,52444.66,53309.43,59056.25,68828.21,72185.11,72452.4,78773.12,78663.06,81414.61
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Odisha,,,497253.35,531073.9,621867.39,713164.02,840718.3,968005.28,1059066.07,1130622.25,1260212.68,1437931.75,1677317.13
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Puducherry,,,164260.04,195211.11,217144.94,224495.53,254408.87,278158.73,289416.53,290776.58,294392.91,311939.98,346035.69
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Punjab,,,1310660.49,1334646.2,1472868.65,1564157.42,1711114.1,1829981.32,1841907.35,1823471.93,1890091.03,2041497.37,2278712.95
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Rajasthan,,,1107587.79,1209945.68,1424276.17,1613842.66,1865570.73,2081905.93,2242054.36,2426330.0,2736925.65,3122898.21,3596810.5
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Sikkim,,,19253.03,19433.85,21580.06,25345.76,29913.35,34425.9,36524.94,38364.55,40895.98,44968.29,49496.56
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Tamil Nadu,,,2375874.32,2491376.78,2820706.6,3209179.14,3664844.69,4120533.82,4524855.33,4888052.87,5243546.05,5693787.1,6293264.69
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Telangana,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1785343.22,2754181.83
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Tripura,,,45479.29,48089.34,52200.95,57680.48,67939.85,78097.02,84535.66,89582.8,95345.35,101147.2,115054.35
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Uttar Pradesh,,,2237769.79,2296110.64,2633679.4,2983716.64,3476583.22,4009080.08,4273968.45,4490696.73,4949774.2,5554401.13,6532445.66
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,Uttarakhand,,,241311.47,273032.98,331051.5,370917.62,430398.4,479910.69,512481.25,545004.64,588259.1,659139.19,766088.24
Energy,Fuel Combustion Emissions,Transport,Road,,Motor Spirit ,,Emissions,CO2e (t) GWP-AR2,West Bengal,,,716230.04,752047.44,844774.88,943650.08,1064537.73,1198986.62,1263200.08,1362201.07,1490337.1,1688661.4,1979815.34
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,,,67255.53,70434.86,74388.87,75922.31,79013.29,80211.24,81786.8,82249.05,83096.16,55633.2,48160.08
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Andaman & Nicobar Islands,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Arunachal Pradesh,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Assam,,,17456.22,25047.62,25287.14,25209.93,26002.15,28988.67,30454.82,30577.96,31858.73,33074.97,33295.23
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Bihar,,,36799.38,41190.76,39947.26,44766.68,48215.65,50634.41,51213.51,52285.46,54292.87,55691.72,55830.88
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Chandigarh,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Chhattisgarh,,,7523.64,6144.13,6166.91,8642.47,9511.22,9300.59,10281.51,11110.23,12023.96,12486.88,14372.29
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Dadra & Nagar Haveli,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Daman & Diu,,,0.0,223.88,74.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Delhi,,,26743.18,28768.41,30450.15,29664.61,30621.23,31656.48,32778.65,32697.07,33744.14,36593.42,37171.37
